Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 3984: Area 3134099.506832, Perimeter 7096.9259999999995
Case 3985: Area 3921195.6402800004, Perimeter 7920.954
Case 3986: Area 3900934.630554, Perimeter 7900.558
Case 3987: Area 3446617.61548, Perimeter 7426.156
Case 3988: Area 3768289.5485159997, Perimeter 7764.91
Case 3989: Area 2598715.063536, Perimeter 6451.82
Case 3990: Area 449435.907593, Perimeter 2974.092
Case 3991: Area 3108939.40476, Perimeter 7072.075999999999
Case 3992: Area 3723913.359876, Perimeter 7723.75
Case 3993: Area 3898174.846509, Perimeter 7897.82
Case 3994: Area 3143106.673638, Perimeter 7114.382
Case 3995: Area 3694824.439617, Perimeter 7689.436
Case 3996: Area 3957527.8707950003, Perimeter 7957.416
Case 3997: Area 3749374.3326479997, Perimeter 7745.322
Case 3998: Area 3891707.403533, Perimeter 7890.972
Case 3999: Area 434082.7859760001, Perimeter 3355.34
Case 4000: Area 3813378.5616, Perimeter 7811.338
Case 4001: Area 3612300.5002850005, Perimeter 7603.524
Case 4002: Area 3541055.4792479994, Perimeter 7531.7919999999995
Case 4003: Area 3842899.205184, Perimeter 7841.362
Case 4004: Area 3875320.7468999997, Perimeter 7875.102
Case 4005: Area 3862849.286052, Perimeter 7861.654
Case 4006: Area 3873155.9089800003, Perimeter 7872.392
Case 4007: Area 3788828.551014, Perimeter 7785.982
Case 4008: Area 0.0, Perimeter 0.0
Case 4009: Area 2795246.510976, Perimeter 6696.404
Case 4010: Area 3447523.467045, Perimeter 7431.052
Case 4011: Area 3550461.6784559996, Perimeter 7538.085999999999
Case 4012: Area 3473340.9820259996, Perimeter 7456.2699999999995
Case 4013: Area 3426592.841207, Perimeter 7404.624
Case 4014: Area 3866359.5669879997, Perimeter 7865.338
Case 4015: Area 1192183.7647999998, Perimeter 4594.866
Case 4016: Area 2815158.016776, Perimeter 6714.004
Case 4017: Area 3700687.9653600003, Perimeter 7697.014
Case 4018: Area 3852252.436278, Perimeter 7851.002
Case 4019: Area 3646153.9459389998, Perimeter 7638.04
Case 4020: Area 3865526.07549, Perimeter 7864.606
Case 4021: Area 3594265.6974000004, Perimeter 7583.476000000001
Case 4022: Area 2875972.6195799997, Perimeter 6806.482
Case 4023: Area 235457.11881, Perimeter 2035.498
Case 4024: Area 3754569.46704, Perimeter 7750.772
Case 4025: Area 3902398.71956, Perimeter 7901.796
Case 4026: Area 3249121.782085, Perimeter 7210.892
Case 4027: Area 3608329.7245639996, Perimeter 7603.23
Case 4028: Area 3794811.650904, Perimeter 7793.83
Case 4029: Area 1202188.9708949998, Perimeter 5021.023999999999
Case 4030: Area 3492377.098373, Perimeter 7476.492
Case 4031: Area 2862654.7848, Perimeter 6829.97
Case 4032: Area 3796359.979536, Perimeter 7793.700000000001
Case 4033: Area 3512846.94544, Perimeter 7504.276
Case 4034: Area 3551095.06516, Perimeter 7537.828
Case 4035: Area 3656232.1949369996, Perimeter 7650.316
Case 4036: Area 2613824.5621950002, Perimeter 6532.808
Case 4037: Area 2565505.3069199994, Perimeter 6436.155999999999
Case 4038: Area 3586499.566264, Perimeter 7577.518
Case 4039: Area 3690916.634643, Perimeter 7687.592000000001
Case 4040: Area 3935974.51828, Perimeter 7935.772
Case 4041: Area 3700447.1819279995, Perimeter 7695.2919999999995
Case 4042: Area 3098330.2978519998, Perimeter 7044.4259999999995
Case 4043: Area 3937853.2164840004, Perimeter 7937.662
Case 4044: Area 3832572.71955, Perimeter 7830.9580000000005
Case 4045: Area 3719956.500057, Perimeter 7715.564
Case 4046: Area 3643218.8597999997, Perimeter 7635.58
Case 4047: Area 3878709.8335880004, Perimeter 7877.778
Case 4048: Area 3473721.00147, Perimeter 7456.054
Case 4049: Area 3840388.658247, Perimeter 7839.344
Case 4050: Area 3643342.21468, Perimeter 7638.188
Case 4051: Area 3415636.5641639996, Perimeter 7393.031999999999
Case 4052: Area 3860164.0634729997, Perimeter 7858.948
Case 4053: Area 3639594.3009999995, Perimeter 7631.709999999999
Case 4054: Area 3321551.15094, Perimeter 7290.166
Case 4055: Area 3564304.29076, Perimeter 7552.286
Case 4056: Area 2889014.928871, Perimeter 6821.344
Case 4057: Area 3218702.3587269997, Perimeter 7177.504
Case 4058: Area 3425405.975392, Perimeter 7405.964
Case 4059: Area 3524095.188783, Perimeter 7509.072
Case 4060: Area 3063254.9570720005, Perimeter 7000.944
Case 4061: Area 3714134.325165, Perimeter 7709.156
Case 4062: Area 3896287.1570369997, Perimeter 7895.644
Case 4063: Area 3719206.019802, Perimeter 7715.0740000000005
Case 4064: Area 3169347.7467839993, Perimeter 7135.987999999999
Case 4065: Area 3795601.710764, Perimeter 7794.27
Case 4066: Area 3370385.9459149996, Perimeter 7344.744
Case 4067: Area 3235597.197485, Perimeter 7200.611999999999
Case 4068: Area 3888110.534624, Perimeter 7887.6720000000005
Case 4069: Area 3526146.768976, Perimeter 7517.846
Case 4070: Area 3951540.85186, Perimeter 7951.406
Case 4071: Area 1136337.673688, Perimeter 4341.402
Case 4072: Area 2515047.0001169997, Perimeter 6393.196
Case 4073: Area 3586688.2581760003, Perimeter 7584.88
Case 4074: Area 3837832.4457459995, Perimeter 7836.889999999999
Case 4075: Area 2751054.55846, Perimeter 6655.5740000000005
Case 4076: Area 1104726.861616, Perimeter 4355.884
Case 4077: Area 2532226.423905, Perimeter 6365.372
Case 4078: Area 3852195.865932, Perimeter 7850.8060000000005
Case 4079: Area 3406010.28376, Perimeter 7401.124
Case 4080: Area 3637151.595334, Perimeter 7628.53
Case 4081: Area 3643030.10968, Perimeter 7635.076
Case 4082: Area 3648093.053272, Perimeter 7642.636
Case 4083: Area 2808356.6002800004, Perimeter 6710.066000000001
Case 4084: Area 3572542.897836, Perimeter 7562.576
Case 4085: Area 3854217.3157439996, Perimeter 7853.048
Case 4086: Area 3431192.631977, Perimeter 7410.636
Case 4087: Area 3795200.7540720003, Perimeter 7794.026
Case 4088: Area 3322098.3082799995, Perimeter 7290.788
Case 4089: Area 3665554.4466239996, Perimeter 7659.878
Case 4090: Area 1337460.017565, Perimeter 4639.364
Case 4091: Area 1753913.5219059999, Perimeter 5477.686
Case 4092: Area 3892021.4072009996, Perimeter 7891.299999999999
Case 4093: Area 3464794.195182, Perimeter 7445.606
Case 4094: Area 3574971.8608799996, Perimeter 7563.088
Case 4095: Area 3908356.498082, Perimeter 7907.826
Case 4096: Area 3903689.012072, Perimeter 7903.476000000001
Case 4097: Area 3816347.778584, Perimeter 7814.700000000001
Case 4098: Area 3300729.550613, Perimeter 7271.892
Case 4099: Area 3859213.1041800003, Perimeter 7857.992
Case 4100: Area 3931832.798829001, Perimeter 7931.740000000001
Case 4101: Area 3842281.266938, Perimeter 7841.058
Case 4102: Area 3456678.547536, Perimeter 7437.52
Case 4103: Area 3909609.950175, Perimeter 7909.296
Case 4104: Area 2492830.4881530004, Perimeter 6318.412
Case 4105: Area 3100394.205587, Perimeter 7080.216
Case 4106: Area 3957113.637288, Perimeter 7957.002
Case 4107: Area 3363326.692953, Perimeter 7337.708
Case 4108: Area 3863450.7284139995, Perimeter 7862.2699999999995
Case 4109: Area 3809959.266518, Perimeter 7807.758
Case 4110: Area 3941762.6070899996, Perimeter 7941.642
Case 4111: Area 3283514.767954, Perimeter 7262.0419999999995
Case 4112: Area 3760693.0880239997, Perimeter 7758.03
Case 4113: Area 3867845.411142, Perimeter 7866.866
Case 4114: Area 3812750.217996, Perimeter 7810.75
Case 4115: Area 3946408.35558, Perimeter 7946.272000000001
Case 4116: Area 3654540.761942, Perimeter 7647.294
Case 4117: Area 3756183.798663, Perimeter 7752.368
Case 4118: Area 3751611.745184, Perimeter 7748.862
Case 4119: Area 3840553.47447, Perimeter 7839.058
Case 4120: Area 3872139.796668, Perimeter 7871.102
Case 4121: Area 3639608.8628129996, Perimeter 7631.108
Case 4122: Area 3714074.4183139997, Perimeter 7711.182
Case 4123: Area 3912719.2095, Perimeter 7912.654
Case 4124: Area 3494898.8948240005, Perimeter 7477.860000000001
Case 4125: Area 3738956.551627, Perimeter 7734.824
Case 4126: Area 3909237.9539199998, Perimeter 7908.752
Case 4127: Area 3779952.276786, Perimeter 7777.25
Case 4128: Area 2930187.97812, Perimeter 6879.044
Case 4129: Area 3839344.5807359996, Perimeter 7839.126
Case 4130: Area 3669642.419344, Perimeter 7666.8099999999995
Case 4131: Area 3639279.8997440003, Perimeter 7631.502
Case 4132: Area 2978036.941344, Perimeter 6914.647999999999
Case 4133: Area 3962191.1351, Perimeter 7962.144
Case 4134: Area 3816521.3988630003, Perimeter 7814.368
Case 4135: Area 3812448.929976, Perimeter 7810.42
Case 4136: Area 2830461.6724380003, Perimeter 6734.0380000000005
Case 4137: Area 3707909.7952, Perimeter 7702.639999999999
Case 4138: Area 3647467.6428799997, Perimeter 7641.888
Case 4139: Area 3773102.61636, Perimeter 7772.004
Case 4140: Area 2894352.313468, Perimeter 6813.782
Case 4141: Area 3860250.0206400007, Perimeter 7859.0160000000005
Case 4142: Area 3894905.1938089994, Perimeter 7894.2119999999995
Case 4143: Area 3829353.834804, Perimeter 7827.5419999999995
Case 4144: Area 2532974.1324, Perimeter 6424.054
Case 4145: Area 3953242.0656959997, Perimeter 7953.106
Case 4146: Area 3764121.740626, Perimeter 7762.49
Case 4147: Area 3621182.021727, Perimeter 7617.376
Case 4148: Area 3748133.278626, Perimeter 7744.27
Case 4149: Area 3743411.502974, Perimeter 7739.178
Case 4150: Area 3788338.4225190002, Perimeter 7786.352000000001
Case 4151: Area 3493175.3532860004, Perimeter 7484.5740000000005
Case 4152: Area 3403227.9201499997, Perimeter 7383.57
Case 4153: Area 3934762.18236, Perimeter 7934.522
Case 4154: Area 3552385.952248, Perimeter 7540.252
Case 4155: Area 3966185.2370559997, Perimeter 7966.114
Case 4156: Area 3388636.464759, Perimeter 7373.888
Case 4157: Area 3668284.705444, Perimeter 7661.198
Case 4158: Area 3839748.140412, Perimeter 7838.126
Case 4159: Area 3486437.507355, Perimeter 7473.496
Case 4160: Area 3545303.9579100003, Perimeter 7531.974
Case 4161: Area 3871537.629736, Perimeter 7870.526
Case 4162: Area 3782606.1618049997, Perimeter 7780.067999999999
Case 4163: Area 2472610.117512, Perimeter 6308.254
Case 4164: Area 3733776.957053, Perimeter 7729.2119999999995
Case 4165: Area 3137564.51568, Perimeter 7090.264
Case 4166: Area 3894454.049293, Perimeter 7893.7880000000005
Case 4167: Area 3689095.800834, Perimeter 7683.01
Case 4168: Area 3744469.223768, Perimeter 7741.758
Case 4169: Area 3807623.795743, Perimeter 7805.488
Case 4170: Area 3752357.7644909997, Perimeter 7748.984
Case 4171: Area 3744746.618652, Perimeter 7740.736
Case 4172: Area 3729459.3936949996, Perimeter 7725.456
Case 4173: Area 3859262.6688, Perimeter 7858.1759999999995
Case 4174: Area 3714460.61832, Perimeter 7709.204
Case 4175: Area 3812902.7888479996, Perimeter 7810.932
Case 4176: Area 3884281.978, Perimeter 7883.558
Case 4177: Area 3424163.9849920003, Perimeter 7407.716
Case 4178: Area 3774085.8956959997, Perimeter 7771.62
Case 4179: Area 3704420.593532, Perimeter 7699.134
Case 4180: Area 3803717.4294229997, Perimeter 7801.487999999999
Case 4181: Area 3551706.1132400003, Perimeter 7538.622
Case 4182: Area 3871604.9450780004, Perimeter 7870.758
Case 4183: Area 3867694.255464, Perimeter 7866.65
Case 4184: Area 3878214.409476, Perimeter 7877.704
Case 4185: Area 391093.81710600003, Perimeter 2501.8100000000004
Case 4186: Area 3781708.37927, Perimeter 7778.946
Case 4187: Area 2560725.7985579995, Perimeter 6455.518
Case 4188: Area 2953588.891806, Perimeter 6888.214
Case 4189: Area 3893773.538086, Perimeter 7893.0740000000005
Case 4190: Area 2819242.5373259997, Perimeter 6745.146
Case 4191: Area 3585361.0353620006, Perimeter 7576.914000000001
Case 4192: Area 3169891.372452, Perimeter 7145.554
Case 4193: Area 3848207.9322389998, Perimeter 7846.832
Case 4194: Area 3742137.7578200004, Perimeter 7738.182000000001
Case 4195: Area 3753010.44048, Perimeter 7749.076
Case 4196: Area 2108874.058914, Perimeter 5808.83
Case 4197: Area 2738725.0895620002, Perimeter 6627.974
Case 4198: Area 3711060.6533980006, Perimeter 7705.942000000001
Case 4199: Area 2860819.587584, Perimeter 6766.59
Case 4200: Area 3756886.1595, Perimeter 7753.886
Case 4201: Area 3397377.83957, Perimeter 7372.902
Case 4202: Area 3702052.2524220003, Perimeter 7699.234
Case 4203: Area 3794677.6319040004, Perimeter 7791.992
Case 4204: Area 3887048.5993439998, Perimeter 7886.24
Case 4205: Area 3836406.2544, Perimeter 7835.65
Case 4206: Area 2360030.8480559997, Perimeter 6153.8859999999995
Case 4207: Area 3867473.563212, Perimeter 7866.415999999999
Case 4208: Area 3770543.3609200004, Perimeter 7767.532
Case 4209: Area 3625342.4031760003, Perimeter 7616.354
Case 4210: Area 3829864.815161, Perimeter 7828.62
Case 4211: Area 3784139.57041, Perimeter 7781.362
Case 4212: Area 3482929.5169949997, Perimeter 7465.096
Case 4213: Area 3574662.8901250004, Perimeter 7564.58
Case 4214: Area 3523338.585096, Perimeter 7511.444
Case 4215: Area 3889305.7794359997, Perimeter 7888.624
Case 4216: Area 3419265.4501589998, Perimeter 7396.512
Case 4217: Area 3507329.8901799996, Perimeter 7496.6179999999995
Case 4218: Area 3796067.264692, Perimeter 7794.226000000001
Case 4219: Area 3815866.076802, Perimeter 7813.786
Case 4220: Area 3608554.89066, Perimeter 7598.798000000001
Case 4221: Area 3818078.691566, Perimeter 7815.966
Case 4222: Area 3798054.6220980003, Perimeter 7795.542
Case 4223: Area 3879269.1526820003, Perimeter 7878.486000000001
Case 4224: Area 3675724.4199360004, Perimeter 7669.64
Case 4225: Area 2624293.6695160004, Perimeter 6525.466
Case 4226: Area 1507388.4272339998, Perimeter 5028.61
Case 4227: Area 2237569.84065, Perimeter 6104.15
Case 4228: Area 3361271.85516, Perimeter 7333.796
Case 4229: Area 3395668.9149060003, Perimeter 7371.086
Case 4230: Area 3918267.085635, Perimeter 7918.168
Case 4231: Area 1663720.284314, Perimeter 5293.83
Case 4232: Area 3783019.32307, Perimeter 7780.414
Case 4233: Area 3752426.493696, Perimeter 7750.144
Case 4234: Area 3745115.489388, Perimeter 7740.9619999999995
Case 4235: Area 3802621.7185, Perimeter 7800.226000000001
Case 4236: Area 3743163.1431809994, Perimeter 7740.9
Case 4237: Area 3794382.086079, Perimeter 7791.808
Case 4238: Area 3782331.500662, Perimeter 7779.326
Case 4239: Area 3535478.73107, Perimeter 7521.174000000001
Case 4240: Area 3459641.791968, Perimeter 7450.408
Case 4241: Area 3723792.4054739997, Perimeter 7720.15
Case 4242: Area 3636101.5738760005, Perimeter 7627.446
Case 4243: Area 3444239.320296, Perimeter 7429.156000000001
Case 4244: Area 3445850.1932500005, Perimeter 7430.41
Case 4245: Area 3545493.302731, Perimeter 7538.264
Case 4246: Area 3811586.17059, Perimeter 7809.314
Case 4247: Area 3735397.023174, Perimeter 7731.121999999999
Case 4248: Area 3349799.9490160006, Perimeter 7322.9800000000005
Case 4249: Area 3477582.7229520003, Perimeter 7460.914000000001
Case 4250: Area 3410376.115176, Perimeter 7392.804
Case 4251: Area 3440402.89292, Perimeter 7420.698
Case 4252: Area 3926118.3896899996, Perimeter 7925.814
Case 4253: Area 3727355.362874, Perimeter 7722.629999999999
Case 4254: Area 3602828.795088, Perimeter 7592.452
Case 4255: Area 2795223.581943, Perimeter 6718.112
Case 4256: Area 2042970.99594, Perimeter 5736.728
Case 4257: Area 3864029.2827540003, Perimeter 7862.858
Case 4258: Area 1653966.752565, Perimeter 5529.172
Case 4259: Area 3521158.3557920004, Perimeter 7506.876
Case 4260: Area 3827546.870972, Perimeter 7825.674
Case 4261: Area 3621097.790275, Perimeter 7612.12
Case 4262: Area 3625094.1884149997, Perimeter 7619.088
Case 4263: Area 3849096.942218, Perimeter 7847.742
Case 4264: Area 3441788.528894, Perimeter 7430.802
Case 4265: Area 3116415.283248, Perimeter 7063.852
Case 4266: Area 3784862.478416, Perimeter 7781.916
Case 4267: Area 3785438.79544, Perimeter 7782.652
Case 4268: Area 3773092.6821479998, Perimeter 7769.817999999999
Case 4269: Area 3851736.1858079997, Perimeter 7850.768
Case 4270: Area 3704056.849977, Perimeter 7698.476000000001
Case 4271: Area 3399792.03126, Perimeter 7375.584
Case 4272: Area 3473073.2872240003, Perimeter 7458.82
Case 4273: Area 3364100.812458, Perimeter 7347.678
Case 4274: Area 3406606.6600200003, Perimeter 7389.962
Case 4275: Area 2978830.6457220004, Perimeter 6906.394
Case 4276: Area 3697225.08554, Perimeter 7694.082
Case 4277: Area 3691486.24124, Perimeter 7686.258
Case 4278: Area 3934404.1605659993, Perimeter 7934.134
Case 4279: Area 3775574.6180579998, Perimeter 7773.278
Case 4280: Area 3696155.258204, Perimeter 7690.5419999999995
Case 4281: Area 1571689.540536, Perimeter 5203.724
Case 4282: Area 2633104.485748, Perimeter 6530.522
Case 4283: Area 738674.613404, Perimeter 3963.63
Case 4284: Area 3664917.30462, Perimeter 7660.112
Case 4285: Area 3929523.5896650003, Perimeter 7929.276
Case 4286: Area 3870574.21242, Perimeter 7869.512000000001
Case 4287: Area 3840084.43872, Perimeter 7838.584
Case 4288: Area 3506155.958818, Perimeter 7489.9220000000005
Case 4289: Area 3773979.106976, Perimeter 7771.404
Case 4290: Area 3683778.2306680004, Perimeter 7677.872
Case 4291: Area 2663196.4602979994, Perimeter 6531.4619999999995
Case 4292: Area 3205751.706, Perimeter 7162.83
Case 4293: Area 3574332.099, Perimeter 7563.164
Case 4294: Area 3848801.857131, Perimeter 7847.864
Case 4295: Area 3901156.7619330003, Perimeter 7900.572
Case 4296: Area 3806360.2423199997, Perimeter 7804.173999999999
Case 4297: Area 3739492.381846, Perimeter 7736.1939999999995
Case 4298: Area 3779458.6881399998, Perimeter 7776.358
Case 4299: Area 3778219.899912, Perimeter 7775.684
Case 4300: Area 3811999.7304080008, Perimeter 7810.4580000000005
Case 4301: Area 3512035.613732, Perimeter 7498.986
Case 4302: Area 3709527.942915, Perimeter 7704.0560000000005
Case 4303: Area 3888613.3151039993, Perimeter 7888.2919999999995
Case 4304: Area 1995610.978736, Perimeter 5671.74
Case 4305: Area 3728145.357624, Perimeter 7723.371999999999
Case 4306: Area 3539358.68267, Perimeter 7535.826
Case 4307: Area 3834005.1873559994, Perimeter 7832.513999999999
Case 4308: Area 3559228.2923540003, Perimeter 7546.4580000000005
Case 4309: Area 3839139.4917510003, Perimeter 7837.696
Case 4310: Area 3697673.130888, Perimeter 7691.972
Case 4311: Area 3766210.110663, Perimeter 7764.368
Case 4312: Area 3558914.076795, Perimeter 7547.9439999999995
Case 4313: Area 3797297.702898, Perimeter 7794.902
Case 4314: Area 3592581.81139, Perimeter 7581.686
Case 4315: Area 3498372.39975, Perimeter 7484.83
Case 4316: Area 2981742.022343, Perimeter 6907.487999999999
Case 4317: Area 3550762.5741329994, Perimeter 7545.451999999999
Case 4318: Area 3867801.7940069996, Perimeter 7866.704
Case 4319: Area 3364286.4512659996, Perimeter 7344.2699999999995
Case 4320: Area 3611378.524284, Perimeter 7607.52
Case 4321: Area 2916556.140832, Perimeter 6835.934
Case 4322: Area 3842194.488279, Perimeter 7840.96
Case 4323: Area 3953905.1823249995, Perimeter 7953.771999999999
Case 4324: Area 2969172.745968, Perimeter 6903.268
Case 4325: Area 3366306.7665750002, Perimeter 7346.56
Case 4326: Area 0.0, Perimeter 0.0
Case 4327: Area 3876171.621595, Perimeter 7875.848
Case 4328: Area 3348687.6095910002, Perimeter 7333.184
Case 4329: Area 3433540.182856, Perimeter 7413.514
Case 4330: Area 3878151.746967, Perimeter 7877.536
Case 4331: Area 3340574.2173599997, Perimeter 7310.896
Case 4332: Area 3705884.063619, Perimeter 7700.84
Case 4333: Area 0.0, Perimeter 0.0
Case 4334: Area 3881994.669408, Perimeter 7881.278
Case 4335: Area 3906819.4861080004, Perimeter 7906.272000000001
Case 4336: Area 3682990.53, Perimeter 7682.32
Case 4337: Area 3693190.263084, Perimeter 7689.7119999999995
Case 4338: Area 3903414.73478, Perimeter 7902.834
Case 4339: Area 3790849.29132, Perimeter 7788.062
Case 4340: Area 3404676.31218, Perimeter 7401.822
Case 4341: Area 2896996.6141520003, Perimeter 6844.764
Case 4342: Area 3518911.9819920002, Perimeter 7504.276
Case 4343: Area 2830619.8684709994, Perimeter 6733.056
Case 4344: Area 3975760.660536, Perimeter 7975.724
Case 4345: Area 3395715.385875, Perimeter 7381.064
Case 4346: Area 3687833.782656, Perimeter 7682.414000000001
Case 4347: Area 3463976.7977289995, Perimeter 7444.708
Case 4348: Area 3530349.852478, Perimeter 7522.198
Case 4349: Area 3846538.4836279997, Perimeter 7845.168
Case 4350: Area 2072318.1215759998, Perimeter 5773.11
Case 4351: Area 3785493.825273, Perimeter 7783.412
Case 4352: Area 3771569.852225, Perimeter 7768.836
Case 4353: Area 3849475.4522470003, Perimeter 7848.176
Case 4354: Area 3640454.347824, Perimeter 7639.21
Case 4355: Area 3458431.3809740003, Perimeter 7441.35
Case 4356: Area 3607145.646118, Perimeter 7599.782
Case 4357: Area 2717840.105735, Perimeter 6655.632
Case 4358: Area 3186619.14852, Perimeter 7140.442
Case 4359: Area 3904102.864415, Perimeter 7903.728
Case 4360: Area 3775536.35877, Perimeter 7773.938
Case 4361: Area 3703459.0503680003, Perimeter 7698.132
Case 4362: Area 3700580.0087519996, Perimeter 7695.124
Case 4363: Area 3892091.95724, Perimeter 7891.794
Case 4364: Area 2857808.623775, Perimeter 6788.4
Case 4365: Area 3680641.017632, Perimeter 7676.856
Case 4366: Area 3574569.017392, Perimeter 7563.796
Case 4367: Area 3788321.9082, Perimeter 7785.446
Case 4368: Area 3835743.29968, Perimeter 7834.024
Case 4369: Area 3891961.1826279997, Perimeter 7891.222
Case 4370: Area 2455900.7214059997, Perimeter 6317.314
Case 4371: Area 1957899.3518369999, Perimeter 5677.316
Case 4372: Area 3582752.84444, Perimeter 7571.388
Case 4373: Area 3711623.0783550004, Perimeter 7709.624
Case 4374: Area 1469674.0951379999, Perimeter 4866.701999999999
Case 4375: Area 3792776.9619839997, Perimeter 7790.86
Case 4376: Area 3792123.6019200003, Perimeter 7789.362
Case 4377: Area 3941347.3723339997, Perimeter 7941.162
Case 4378: Area 3731603.3991880002, Perimeter 7727.402
Case 4379: Area 929721.727675, Perimeter 3882.2799999999997
Case 4380: Area 3622023.108071, Perimeter 7614.144
Case 4381: Area 3704490.3474560003, Perimeter 7699.02
Case 4382: Area 3863937.152475, Perimeter 7862.871999999999
Case 4383: Area 3579582.043488, Perimeter 7568.632
Case 4384: Area 3308250.6544620004, Perimeter 7277.146000000001
Case 4385: Area 3293696.2213319996, Perimeter 7259.914
Case 4386: Area 160856.468388, Perimeter 1970.882
Case 4387: Area 3010166.54083, Perimeter 6953.594
Case 4388: Area 3878598.112565, Perimeter 7877.868
Case 4389: Area 3089689.595796, Perimeter 7050.344
Case 4390: Area 3773871.5182919996, Perimeter 7770.954
Case 4391: Area 3505997.152328, Perimeter 7490.322
Case 4392: Area 3910401.2184200003, Perimeter 7909.896000000001
Case 4393: Area 3385001.94944, Perimeter 7361.148
Case 4394: Area 3611375.110553, Perimeter 7602.228
Case 4395: Area 3775848.0916069997, Perimeter 7773.504
Case 4396: Area 3774350.0172949997, Perimeter 7772.304
Case 4397: Area 3889621.902078, Perimeter 7888.938
Case 4398: Area 3841220.349306, Perimeter 7839.67
Case 4399: Area 3617177.602636, Perimeter 7607.83
Case 4400: Area 3667275.4827379994, Perimeter 7661.5019999999995
Case 4401: Area 2365419.9016440003, Perimeter 6155.120000000001
Case 4402: Area 3698141.9653879995, Perimeter 7694.742
Case 4403: Area 3850678.99559, Perimeter 7849.554
Case 4404: Area 3797266.6229839996, Perimeter 7794.69
Case 4405: Area 3825531.6281190002, Perimeter 7824.0
Case 4406: Area 3734250.596385, Perimeter 7729.892
Case 4407: Area 2777848.5371040003, Perimeter 6677.492
Case 4408: Area 3635586.329532, Perimeter 7626.914
Case 4409: Area 3693737.3287919997, Perimeter 7687.843999999999
Case 4410: Area 3915743.634432, Perimeter 7915.296
Case 4411: Area 3822004.30046, Perimeter 7819.986
Case 4412: Area 1646233.1957760004, Perimeter 5142.860000000001
Case 4413: Area 3766461.649767, Perimeter 7763.264
Case 4414: Area 3837351.9609600003, Perimeter 7835.726000000001
Case 4415: Area 3794269.4855380002, Perimeter 7791.862
Case 4416: Area 3845558.774242, Perimeter 7844.206
Case 4417: Area 2842519.275177, Perimeter 6752.716
Case 4418: Area 3857688.7866, Perimeter 7856.41
Case 4419: Area 2647924.154715, Perimeter 6533.768
Case 4420: Area 3691151.0615069997, Perimeter 7685.255999999999
Case 4421: Area 3020770.291104, Perimeter 6953.2080000000005
Case 4422: Area 3733721.8917759997, Perimeter 7732.696
Case 4423: Area 3784129.19585, Perimeter 7781.886
Case 4424: Area 94066.59371200006, Perimeter 2503.3160000000003
Case 4425: Area 1029609.4285680001, Perimeter 4278.548000000001
Case 4426: Area 3806831.816508, Perimeter 7804.448
Case 4427: Area 2574738.2901900006, Perimeter 6420.5740000000005
Case 4428: Area 3796500.3937, Perimeter 7793.9439999999995
Case 4429: Area 3505749.8392399997, Perimeter 7494.281999999999
Case 4430: Area 3945385.642832, Perimeter 7945.206
Case 4431: Area 3844374.960663, Perimeter 7842.832
Case 4432: Area 3613349.2103239996, Perimeter 7608.222
Case 4433: Area 3498490.861152, Perimeter 7487.794
Case 4434: Area 3592076.906907, Perimeter 7581.144
Case 4435: Area 3735025.5748860002, Perimeter 7730.51
Case 4436: Area 3659303.3536139997, Perimeter 7655.918
Case 4437: Area 2115055.466508, Perimeter 5817.712
Case 4438: Area 3406609.47632, Perimeter 7388.964
Case 4439: Area 131272.92021599997, Perimeter 2368.81
Case 4440: Area 3706065.8183999998, Perimeter 7701.928
Case 4441: Area 3528655.2756399997, Perimeter 7518.628
Case 4442: Area 3832777.6333680004, Perimeter 7831.012000000001
Case 4443: Area 3831378.881967, Perimeter 7831.0560000000005
Case 4444: Area 2622818.3615699997, Perimeter 6481.466
Case 4445: Area 3540983.64369, Perimeter 7527.302
Case 4446: Area 3823788.893106, Perimeter 7822.286
Case 4447: Area 3927633.2697279993, Perimeter 7927.4619999999995
Case 4448: Area 3655020.696528, Perimeter 7647.248
Case 4449: Area 3675647.075595, Perimeter 7671.272
Case 4450: Area 3493502.26785, Perimeter 7489.146000000001
Case 4451: Area 3666512.0676240004, Perimeter 7665.078
Case 4452: Area 3686195.267038, Perimeter 7681.342
Case 4453: Area 3751779.288891, Perimeter 7748.360000000001
Case 4454: Area 2408240.1976999994, Perimeter 6227.831999999999
Case 4455: Area 3933360.6562500005, Perimeter 7933.082
Case 4456: Area 3482086.6746600005, Perimeter 7474.408
Case 4457: Area 3937561.804675, Perimeter 7937.32
Case 4458: Area 2820861.352695, Perimeter 6720.128
Case 4459: Area 3826542.5687340004, Perimeter 7825.85
Case 4460: Area 3552136.3156920006, Perimeter 7538.8460000000005
Case 4461: Area 3655500.4721279996, Perimeter 7649.248
Case 4462: Area 3811771.8413279997, Perimeter 7810.067999999999
Case 4463: Area 3624084.2804759997, Perimeter 7621.51
Case 4464: Area 3898139.3001750004, Perimeter 7897.552000000001
Case 4465: Area 3848654.410645, Perimeter 7847.468000000001
Case 4466: Area 3431179.8564749993, Perimeter 7409.464
Case 4467: Area 3752500.3846650003, Perimeter 7749.1720000000005
Case 4468: Area 3821332.563972, Perimeter 7820.0740000000005
Case 4469: Area 3695035.8819000004, Perimeter 7689.122
Case 4470: Area 3774371.2515399996, Perimeter 7773.686
Case 4471: Area 3531288.981168, Perimeter 7516.832
